Year,Month,Day,Time,zones_ct5
2020,12,3,1715,78
2020,12,3,1718,82
2020,12,3,1721,90
2020,12,3,1724,97
2020,12,3,1727,110
2020,12,3,1730,108
2020,12,3,1733,107
2020,12,3,1736,122
2020,12,3,1739,120
2020,12,3,1742,124
2020,12,3,1745,122
2020,12,3,1748,128
2020,12,3,1751,126
2020,12,3,1754,119
2020,12,3,1757,123
2020,12,3,1800,105
2020,12,3,1803,101
2020,12,3,1806,86
2020,12,3,1809,92
2020,12,3,1812,102
2020,12,3,1815,76
2020,12,3,1818,91
2020,12,3,1821,81
2020,12,3,1824,84
2020,12,3,1827,82
2020,12,3,1830,88
2020,12,3,1833,96
2020,12,3,1836,96
2020,12,3,1839,99
2020,12,3,1842,96
2020,12,3,1845,93
2020,12,3,1848,91
2020,12,3,1851,77
2020,12,3,1854,70
2020,12,3,1857,70
2020,12,3,1900,67
2020,12,3,1903,82
2020,12,3,1906,77
2020,12,3,1909,75
2020,12,3,1912,78
2020,12,3,1915,67
2020,12,3,1918,75
2020,12,3,1921,77
2020,12,3,1924,81
2020,12,3,1927,81
2020,12,3,1930,74
2020,12,3,1933,72
2020,12,3,1936,69
2020,12,3,1939,72
2020,12,3,1942,76
2020,12,3,1945,81
2020,12,3,1948,82
2020,12,3,1951,89
2020,12,3,1954,93
2020,12,3,1957,92
2020,12,3,2000,91
2020,12,3,2003,81
2020,12,3,2006,86
2020,12,3,2009,84
2020,12,3,2012,69
2020,12,3,2015,64
2020,12,3,2018,63
2020,12,3,2021,62
2020,12,3,2024,68
2020,12,3,2027,64
2020,12,3,2030,67
2020,12,3,2033,58
2020,12,3,2036,56
2020,12,3,2039,59
2020,12,3,2042,47
2020,12,3,2045,42
2020,12,3,2048,42
2020,12,3,2051,50
2020,12,3,2054,51
2020,12,3,2057,53
2020,12,3,2100,48
